Taste,Colour,Grade
0,255,low
0,255,medium
1,255,high
0,255,medium
1,255,low
1,248,low
1,255,medium
1,255,high
1,255,low
1,250,high
0,255,low
0,255,medium
0,255,high
1,255,medium
1,255,high
1,255,low
1,250,low
1,245,medium
0,250,medium
0,255,medium
0,255,high
1,255,medium
1,255,low
1,255,low
1,250,low
1,245,medium
0,250,high
0,255,medium
0,255,low
1,245,high
1,246,medium
0,253,high
0,246,low
0,240,medium
0,245,medium
1,255,high
0,240,medium
0,255,low
0,255,medium
1,255,high
0,255,medium
1,255,low
1,248,low
1,255,high
0,250,low
0,247,medium
0,255,low
1,245,high
1,255,low
0,255,medium
1,255,low
0,255,medium
1,255,high
1,250,low
0,250,low
1,255,low
1,247,medium
1,245,medium
0,255,low
0,255,high
1,255,low
0,255,low
1,255,medium
1,255,high
1,255,low
1,250,high
0,255,low
0,255,medium
0,255,high
1,255,medium
1,255,high
1,255,low
1,250,low
1,245,medium
0,250,medium
0,255,medium
0,255,medium
1,245,high
1,246,low
0,253,high
0,246,low
1,245,medium
0,250,high
0,255,medium
0,255,low
1,245,high
1,246,medium
0,253,high
0,246,low
0,255,low
1,245,high
1,255,low
0,255,medium
1,255,low
0,255,medium
1,255,high
1,250,low
0,250,low
1,255,low
1,247,medium
1,245,medium
0,255,low
0,255,high
1,255,low
0,255,low
1,255,medium
1,255,high
1,255,low
1,250,high
0,255,low
0,255,medium
0,255,high
1,255,medium
1,255,high
1,255,low
1,250,low
1,245,medium
0,250,medium
0,255,medium
0,255,medium
1,245,high
1,246,low
0,253,high
0,246,low
1,245,medium
0,250,high
0,255,medium
0,255,low
1,245,high
1,246,medium
0,253,high
0,246,low
0,240,medium
0,245,medium
1,255,high
0,240,medium
0,255,low
0,255,medium
1,255,high
0,255,medium
1,255,low
1,248,low
1,255,high
0,250,low
0,247,medium
0,255,low
1,245,high
1,255,low
0,255,medium
1,255,low
0,255,medium
1,255,high
1,250,low
0,250,low
1,255,low
1,247,medium
1,245,medium
0,255,low
0,255,high
1,255,low
0,255,low
1,255,medium
1,247,medium
1,245,low
0,255,high
0,255,medium
0,255,low
0,255,medium
1,255,high
0,255,medium
1,255,low
1,248,low
1,255,high
0,250,low
0,247,medium
0,255,medium
1,245,high
1,255,low
0,255,medium
1,255,high
1,250,low
1,250,medium
1,255,low
1,247,medium
1,255,high
1,255,low
1,250,high
0,255,low
0,255,low
0,255,high
1,255,medium
1,255,low
1,255,low
1,250,low
1,245,medium
0,250,high
0,255,medium
0,255,low
1,245,high
1,246,low
0,253,high
0,246,low
0,240,medium
0,245,medium
1,255,high
0,240,medium
0,255,low
0,255,medium
1,255,high
0,255,medium
1,255,high
1,248,low
1,255,medium
1,255,high
1,255,low
1,250,high
0,255,medium
1,255,high
0,255,medium
1,255,low
1,248,low
1,255,high
0,250,low
0,247,medium
0,255,low
1,245,high
1,255,low
0,255,medium
1,255,low
0,255,medium
1,255,high
1,250,low
0,250,low
1,255,low
1,247,medium
1,245,medium
0,255,low
0,255,high
1,255,low
0,255,low
1,255,medium
1,247,medium
1,245,low
0,255,high
0,255,medium
0,255,low
0,255,medium
1,255,high
0,255,medium
1,255,low
1,248,low
1,255,high
0,250,low
0,247,medium
0,255,medium
1,245,high
1,255,low
0,255,medium
1,255,high
1,250,low
1,250,medium
1,255,low
1,247,medium
1,255,high
1,255,low
1,250,high
0,255,low
0,255,low
0,255,high
1,255,medium
1,255,low
1,255,low
1,250,low
1,245,medium
0,250,high
0,255,medium
0,255,low
1,245,high
1,246,low
0,253,high
0,246,low
0,240,medium
0,245,medium
1,255,high
0,240,medium
0,255,low
0,255,medium
1,255,high
0,255,medium
1,255,high
1,255,low
1,250,low
0,255,low
0,255,medium
0,255,high
1,255,medium
1,255,low
1,255,low
1,250,low
1,245,medium
0,255,medium
1,255,high
1,250,low
0,250,low
1,255,low
1,247,medium
1,245,medium
0,255,low
0,255,low
1,255,low
0,255,medium
1,255,medium
1,255,high
1,255,low
1,250,low
0,255,low
0,255,medium
0,255,high
1,255,medium
1,255,low
1,255,low
1,250,low
1,245,medium
0,250,high
0,255,medium
0,255,low
1,245,high
1,246,medium
0,253,high
0,246,low
0,240,medium
0,245,medium
1,255,high
0,240,medium
0,255,low
0,255,medium
1,255,high
0,255,medium
1,255,low
1,248,low
1,255,medium
1,255,high
1,255,low
1,250,high
0,255,low
0,255,medium
0,255,high
1,255,medium
1,255,high
1,255,low
1,250,low
1,245,medium
0,250,medium
0,255,medium
0,255,high
1,255,medium
1,255,low
1,255,low
1,250,low
1,245,medium
0,250,high
0,255,medium
0,255,low
1,245,high
1,250,low
0,250,low
1,255,low
1,247,medium
1,245,medium
0,255,low
0,255,high
1,255,low
0,255,low
1,255,medium
1,247,medium
1,245,low
0,255,high
0,255,low
0,255,low
0,255,medium
1,255,high
0,255,medium
1,255,low
1,248,low
1,255,high
0,250,medium
0,247,medium
0,255,medium
1,245,high
1,255,low
0,255,medium
1,255,high
1,250,low
0,250,low
1,255,low
1,247,medium
1,245,medium
0,255,low
0,255,low
1,255,low
0,255,medium
1,255,medium
1,255,high
1,255,low
1,250,low
0,255,low
0,255,medium
0,255,high
1,255,medium
1,255,low
1,255,low
1,250,low
1,245,medium
0,255,medium
1,255,high
1,250,low
0,250,low
1,255,low
1,247,medium
1,245,medium
0,255,low
0,255,low
1,255,low
0,255,medium
1,255,medium
1,255,high
1,255,low
1,250,low
0,255,low
0,255,medium
0,255,high
1,255,medium
1,255,low
1,255,low
1,250,low
1,245,medium
0,250,high
0,255,medium
0,255,low
1,245,high
1,246,medium
0,253,high
0,246,low
0,240,medium
0,245,medium
1,255,high
0,240,medium
0,255,low
0,255,medium
1,255,high
0,255,medium
1,255,low
1,248,low
1,255,medium
1,255,high
0,255,medium
1,250,high
0,255,low
0,255,medium
0,255,high
1,255,medium
1,255,high
1,255,low
1,250,low
1,245,medium
0,250,high
0,255,medium
0,255,high
1,255,medium
1,255,low
1,255,low
1,250,low
1,245,medium
0,250,high
0,255,medium
0,255,low
1,245,high
1,246,medium
0,253,high
0,246,low
0,240,medium
0,245,low
1,255,high
0,240,medium
0,255,low
0,255,medium
1,255,high
0,255,medium
1,255,low
1,248,low
1,255,high
0,250,low
0,247,medium
0,255,low
1,245,high
1,255,medium
1,248,low
1,255,high
0,250,low
0,247,medium
0,255,medium
1,245,high
1,255,low
0,255,medium
1,255,high
1,250,low
1,250,medium
1,255,low
1,247,medium
1,255,high
1,255,low
1,250,high
0,255,low
0,255,low
0,255,high
1,255,medium
1,255,low
1,255,high
1,250,low
1,245,medium
0,250,high
0,255,medium
0,255,low
1,245,high
1,246,low
1,255,high
0,240,medium
0,255,low
0,255,medium
1,255,high
0,255,medium
1,255,high
1,255,low
0,250,medium
0,255,low
0,255,medium
0,255,high
1,255,medium
1,255,low
1,255,low
1,250,low
1,245,medium
0,255,medium
1,255,high
1,250,low
0,250,medium
1,255,low
1,247,medium
1,245,medium
0,255,low
0,255,low
1,247,medium
1,245,low
0,255,high
0,255,low
0,255,low
0,255,medium
1,255,high
0,255,medium
1,255,low
1,248,low
1,255,high
0,250,medium
0,247,medium
0,255,high
1,245,high
1,255,low
0,255,medium
1,255,high
1,250,low
0,250,low
1,255,low
1,247,medium
1,245,medium
0,255,low
0,255,low
1,255,medium
1,250,low
1,245,medium
0,250,high
0,255,medium
0,255,low
1,245,high
1,246,medium
0,253,high
0,246,low
0,240,medium
0,245,medium
1,255,high
0,240,medium
0,255,low
1,255,high
1,255,high
0,255,medium
1,255,low
1,248,low
1,255,medium
1,255,high
1,255,low
1,250,high
0,255,low
1,250,medium
1,255,low
1,247,medium
1,255,high
1,255,low
1,250,high
0,255,low
0,255,low
0,255,high
1,255,medium
1,255,low
1,255,low
1,250,low
1,245,medium
0,250,high
0,255,medium
0,255,low
1,245,high
1,246,medium
0,253,high
0,246,low
0,240,medium
0,245,medium
1,255,high
0,240,medium
0,255,low
0,255,medium
1,255,high
0,255,medium
1,255,high
1,255,low
0,250,medium
0,255,low
0,255,medium
0,255,high
1,255,medium
1,255,low
1,255,low
1,250,low
1,245,medium
0,255,medium
1,255,low
1,250,low
1,245,medium
0,250,high
0,255,medium
0,255,high
1,255,medium
1,255,low
1,255,low
1,250,low
1,245,medium
0,250,high
0,255,medium
0,255,low
1,245,high
1,246,medium
0,253,high
0,246,low
0,240,medium
0,245,low
1,255,high
0,240,medium
0,255,low
0,255,medium
1,255,high
0,255,medium
1,255,low
1,248,low
1,255,high
0,250,low
0,247,medium
0,255,low
1,245,high
1,255,medium
1,248,low
1,255,high
0,250,low
0,247,medium
0,255,medium
1,245,high
1,255,low
0,255,medium
1,255,high
1,250,low
1,250,medium
1,255,low
1,247,medium
1,255,high
1,255,low
1,250,high
0,255,low
