Taste,Grade
1,medium
0,high
0,medium
0,low
1,high
1,low
0,high
0,low
0,medium
0,medium
1,high
0,medium
0,low
0,medium
1,high
0,medium
1,high
1,low
1,medium
1,high
1,low
1,high
0,medium
1,high
0,medium
1,low
1,low
1,high
0,low
0,medium
0,low
1,high
1,low
0,medium
1,low
0,medium
1,high
1,low
0,low
1,low
1,medium
1,medium
0,low
0,high
1,low
0,low
1,medium
1,medium
1,low
0,high
0,medium
0,low
0,medium
1,high
0,medium
1,low
1,low
1,high
0,low
0,medium
0,medium
1,high
1,low
0,medium
1,high
1,low
1,medium
1,low
1,medium
1,high
1,low
1,high
0,low
0,low
0,high
1,medium
1,low
1,low
1,low
1,medium
0,high
0,medium
0,low
1,high
1,low
0,high
0,low
0,medium
0,medium
1,high
0,medium
0,low
0,medium
1,high
0,medium
1,high
1,low
1,low
0,low
0,medium
0,high
1,medium
1,low
1,low
1,low
1,medium
0,medium
1,high
1,low
0,low
1,low
1,medium
1,medium
0,low
0,low
1,low
0,medium
1,medium
1,high
1,low
1,low
0,low
0,medium
0,high
1,medium
1,low
1,low
1,low
1,medium
0,high
0,medium
0,low
1,high
1,medium
0,high
0,low
0,medium
0,medium
1,high
0,medium
0,low
0,medium
1,high
0,medium
1,low
1,low
1,medium
1,high
1,low
1,high
0,low
0,medium
0,high
1,medium
1,high
1,low
1,low
1,medium
0,medium
0,medium
0,high
1,medium
1,low
1,low
1,low
1,medium
0,high
0,medium
0,low
1,high
1,low
0,low
1,low
1,medium
1,medium
0,low
0,high
1,low
0,low
1,medium
1,medium
1,low
0,high
0,low
0,low
0,medium
1,high
0,medium
1,low
1,low
1,high
0,medium
0,medium
0,medium
1,high
1,low
0,medium
1,high
1,low
0,low
1,low
1,medium
1,medium
0,low
0,low
1,low
0,medium
1,medium
1,high
1,low
1,low
0,low
0,medium
0,high
1,medium
1,low
1,low
1,low
1,medium
0,medium
1,high
1,low
0,low
1,low
1,medium
1,medium
0,low
0,low
1,low
0,medium
1,medium
1,high
1,low
1,low
0,low
0,medium
0,high
1,medium
1,low
1,low
1,low
1,medium
0,high
0,medium
0,low
1,high
1,medium
0,high
0,low
0,medium
0,medium
1,high
0,medium
0,low
0,medium
1,high
0,medium
1,low
1,low
1,medium
1,high
0,medium
1,high
0,low
0,medium
0,high
1,medium
1,high
1,low
1,low
1,medium
0,high
0,medium
0,high
1,medium
1,low
1,low
1,low
1,medium
0,high
0,medium
0,low
1,high
1,medium
0,high
0,low
0,medium
0,low
1,high
0,medium
0,low
0,medium
1,high
0,medium
1,low
1,low
1,high
0,low
0,medium
0,low
1,high
1,medium
1,low
1,high
0,low
0,medium
0,medium
1,high
1,low
0,medium
1,high
1,low
1,medium
1,low
1,medium
1,high
1,low
1,high
0,low
0,low
0,high
1,medium
1,low
1,high
1,low
1,medium
0,high
0,medium
0,low
1,high
1,low
1,high
0,medium
0,low
0,medium
1,high
0,medium
1,high
1,low
0,medium
0,low
0,medium
0,high
1,medium
1,low
1,low
1,low
1,medium
0,medium
1,high
1,low
0,medium
1,low
1,medium
1,medium
0,low
0,low
1,medium
1,low
0,high
0,low
0,low
0,medium
1,high
0,medium
1,low
1,low
1,high
0,medium
0,medium
0,high
1,high
1,low
0,medium
1,high
1,low
0,low
1,low
1,medium
1,medium
0,low
0,low
1,medium
1,low
1,medium
0,high
0,medium
0,low
1,high
1,medium
0,high
0,low
0,medium
0,medium
1,high
0,medium
0,low
1,high
1,high
0,medium
1,low
1,low
1,medium
1,high
1,low
1,high
0,low
1,medium
1,low
1,medium
1,high
1,low
1,high
0,low
0,low
0,high
1,medium
1,low
1,low
1,low
1,medium
0,high
0,medium
0,low
1,high
1,medium
0,high
0,low
0,medium
0,medium
1,high
0,medium
0,low
0,medium
1,high
0,medium
1,high
1,low
0,medium
0,low
0,medium
0,high
1,medium
1,low
1,low
1,low
1,medium
0,medium
1,low
1,low
1,medium
0,high
0,medium
0,high
1,medium
1,low
1,low
1,low
1,medium
0,high
0,medium
0,low
1,high
1,medium
0,high
0,low
0,medium
0,low
1,high
0,medium
0,low
0,medium
1,high
0,medium
1,low
1,low
1,high
0,low
0,medium
0,low
1,high
1,medium
1,low
1,high
0,low
0,medium
0,medium
1,high
1,low
0,medium
1,high
1,low
1,medium
1,low
1,medium
1,high
1,low
1,high
0,low
